iterations	rmse
01	0.6851
02	0.6361
03	0.6337
04	0.5979
05	0.5970
06	0.5959
07	0.5945
08	0.5926
09	0.5896
10	0.5834
11	0.5767
12	0.5728
13	0.5699
14	0.5672
15	0.5647
16	0.5622
17	0.5598
18	0.5576
19	0.5555
20	0.5535
21	0.5517
22	0.5501
23	0.5485
24	0.5470
25	0.5456
26	0.5443
27	0.5430
28	0.5418
29	0.5406
30	0.5394
31	0.5383
32	0.5372
33	0.5362
34	0.5352
35	0.5342
36	0.5332
37	0.5322
38	0.5311
39	0.5300
40	0.5289
41	0.5278
42	0.5266
43	0.5254
44	0.5242
45	0.5230
46	0.5219
47	0.5207
48	0.5197
49	0.5186
50	0.5176
51	0.5166
52	0.5157
53	0.5147
54	0.5137
55	0.5127
56	0.5118
57	0.5107
58	0.5097
59	0.5087
60	0.5076
61	0.5065
62	0.5055
63	0.5044
64	0.5034
65	0.5024
66	0.5013
67	0.5003
68	0.4993
69	0.4983
70	0.4973
71	0.4962
72	0.4952
73	0.4942
74	0.4931
75	0.4921
76	0.4910
77	0.4900
78	0.4889
79	0.4878
80	0.4867
81	0.4857
82	0.4846
83	0.4835
84	0.4824
85	0.4814
86	0.4803
87	0.4792
88	0.4782
89	0.4771
90	0.4760
91	0.4749
92	0.4738
93	0.4727
94	0.4716
95	0.4705
96	0.4693
97	0.4682
98	0.4671
99	0.4660
100	0.4649
101	0.4638
102	0.4626
103	0.4615
104	0.4604
105	0.4592
106	0.4580
107	0.4569
108	0.4557
109	0.4545
110	0.4533
111	0.4522
112	0.4510
113	0.4499
114	0.4487
115	0.4476
116	0.4465
117	0.4453
118	0.4441
119	0.4429
120	0.4417
121	0.4404
122	0.4392
123	0.4379
124	0.4366
125	0.4353
126	0.4341
127	0.4328
128	0.4314
129	0.4301
130	0.4287
131	0.4273
132	0.4259
133	0.4244
134	0.4230
135	0.4215
136	0.4201
137	0.4186
138	0.4171
139	0.4156
140	0.4140
141	0.4123
142	0.4105
143	0.4087
144	0.4069
145	0.4051
146	0.4034
147	0.4018
148	0.4002
149	0.3987
150	0.3972
151	0.3957
152	0.3941
153	0.3924
154	0.3908
155	0.3892
156	0.3876
157	0.3860
158	0.3844
159	0.3829
160	0.3814
161	0.3799
162	0.3784
163	0.3770
164	0.3755
165	0.3741
166	0.3727
167	0.3714
168	0.3700
169	0.3687
170	0.3674
171	0.3661
172	0.3648
173	0.3634
174	0.3621
175	0.3607
176	0.3593
177	0.3579
178	0.3566
179	0.3553
180	0.3540
181	0.3528
182	0.3515
183	0.3504
184	0.3492
185	0.3481
186	0.3470
187	0.3458
188	0.3447
189	0.3436
190	0.3425
191	0.3413
192	0.3402
193	0.3391
194	0.3380
195	0.3370
196	0.3359
197	0.3349
198	0.3338
199	0.3328
200	0.3318
201	0.3307
202	0.3297
203	0.3287
204	0.3277
205	0.3266
206	0.3256
207	0.3245
208	0.3235
209	0.3225
210	0.3215
211	0.3206
212	0.3196
213	0.3186
214	0.3177
215	0.3167
216	0.3158
217	0.3149
218	0.3140
219	0.3131
220	0.3122
221	0.3113
222	0.3104
223	0.3094
224	0.3084
225	0.3074
226	0.3064
227	0.3055
228	0.3046
229	0.3037
230	0.3028
231	0.3019
232	0.3009
233	0.3000
234	0.2991
235	0.2981
236	0.2971
237	0.2962
238	0.2952
239	0.2942
240	0.2932
241	0.2921
242	0.2911
243	0.2900
244	0.2889
245	0.2879
246	0.2868
247	0.2858
248	0.2847
249	0.2835
250	0.2824
251	0.2812
252	0.2801
253	0.2789
254	0.2778
255	0.2766
256	0.2754
257	0.2742
258	0.2731
259	0.2719
260	0.2707
261	0.2696
262	0.2684
263	0.2672
264	0.2660
265	0.2647
266	0.2634
267	0.2622
268	0.2609
269	0.2596
270	0.2583
271	0.2569
272	0.2556
273	0.2542
274	0.2530
275	0.2518
276	0.2506
277	0.2494
278	0.2481
279	0.2467
280	0.2454
281	0.2441
282	0.2428
283	0.2415
284	0.2403
285	0.2392
286	0.2380
287	0.2369
288	0.2358
289	0.2347
290	0.2335
291	0.2324
292	0.2312
293	0.2301
294	0.2289
295	0.2278
296	0.2267
297	0.2256
298	0.2246
299	0.2236
300	0.2226
301	0.2217
302	0.2207
303	0.2198
304	0.2188
305	0.2177
306	0.2167
307	0.2157
308	0.2147
309	0.2138
310	0.2129
311	0.2121
312	0.2112
313	0.2103
314	0.2095
315	0.2087
316	0.2079
317	0.2071
318	0.2063
319	0.2056
320	0.2048
321	0.2040
322	0.2033
323	0.2025
324	0.2018
325	0.2011
326	0.2005
327	0.1998
328	0.1992
329	0.1986
330	0.1980
331	0.1974
332	0.1968
333	0.1962
334	0.1956
335	0.1951
336	0.1946
337	0.1941
338	0.1936
339	0.1931
340	0.1925
341	0.1920
342	0.1916
343	0.1911
344	0.1907
345	0.1902
346	0.1898
347	0.1893
348	0.1889
349	0.1885
350	0.1881
351	0.1877
352	0.1873
353	0.1869
354	0.1865
355	0.1862
356	0.1858
357	0.1854
358	0.1851
359	0.1847
360	0.1844
361	0.1841
362	0.1837
363	0.1834
364	0.1831
365	0.1828
366	0.1825
367	0.1822
368	0.1819
369	0.1816
370	0.1813
371	0.1810
372	0.1807
373	0.1804
374	0.1801
375	0.1799
376	0.1796
377	0.1793
378	0.1791
379	0.1788
380	0.1785
381	0.1782
382	0.1780
383	0.1777
384	0.1774
385	0.1772
386	0.1770
387	0.1767
388	0.1765
389	0.1762
390	0.1759
391	0.1757
392	0.1754
393	0.1752
394	0.1750
395	0.1747
396	0.1745
397	0.1742
398	0.1740
399	0.1737
400	0.1735
401	0.1733
402	0.1731
403	0.1728
404	0.1726
405	0.1724
406	0.1722
407	0.1719
408	0.1717
409	0.1715
410	0.1713
411	0.1710
412	0.1708
413	0.1706
414	0.1704
415	0.1702
416	0.1700
417	0.1697
418	0.1695
419	0.1693
420	0.1691
421	0.1689
422	0.1686
423	0.1684
424	0.1682
425	0.1680
426	0.1678
427	0.1676
428	0.1674
429	0.1672
430	0.1670
431	0.1668
432	0.1666
433	0.1664
434	0.1662
435	0.1661
436	0.1659
437	0.1657
438	0.1655
439	0.1653
440	0.1651
441	0.1649
442	0.1647
443	0.1645
444	0.1644
445	0.1642
446	0.1640
447	0.1638
448	0.1636
449	0.1634
450	0.1633
451	0.1631
452	0.1629
453	0.1628
454	0.1626
455	0.1624
456	0.1623
457	0.1621
458	0.1619
459	0.1618
460	0.1616
461	0.1615
462	0.1613
463	0.1612
464	0.1610
465	0.1609
466	0.1607
467	0.1605
468	0.1604
469	0.1602
470	0.1601
471	0.1599
472	0.1598
473	0.1596
474	0.1595
475	0.1593
476	0.1592
477	0.1590
478	0.1589
479	0.1587
480	0.1586
481	0.1585
482	0.1583
483	0.1582
484	0.1581
485	0.1579
486	0.1578
487	0.1576
488	0.1575
489	0.1574
490	0.1572
491	0.1571
492	0.1570
493	0.1569
494	0.1567
495	0.1566
496	0.1565
497	0.1563
498	0.1562
499	0.1561
500	0.1559
501	0.1558
502	0.1557
503	0.1556
504	0.1555
505	0.1554
506	0.1552
507	0.1551
508	0.1550
509	0.1549
510	0.1548
511	0.1547
512	0.1546
513	0.1544
514	0.1543
515	0.1542
516	0.1541
517	0.1540
518	0.1539
519	0.1538
520	0.1537
521	0.1536
522	0.1535
523	0.1533
524	0.1532
525	0.1531
526	0.1530
527	0.1529
528	0.1528
529	0.1527
530	0.1526
531	0.1525
532	0.1524
533	0.1523
534	0.1522
535	0.1522
536	0.1521
537	0.1520
538	0.1519
539	0.1518
540	0.1517
541	0.1516
542	0.1515
543	0.1514
544	0.1513
545	0.1512
546	0.1512
547	0.1511
548	0.1510
549	0.1509
550	0.1508
551	0.1507
552	0.1506
553	0.1506
554	0.1505
555	0.1504
556	0.1503
557	0.1502
558	0.1501
559	0.1500
560	0.1500
561	0.1499
562	0.1498
563	0.1497
564	0.1497
565	0.1496
566	0.1495
567	0.1494
568	0.1494
569	0.1493
570	0.1492
571	0.1491
572	0.1491
573	0.1490
574	0.1489
575	0.1489
576	0.1488
577	0.1487
578	0.1487
579	0.1486
580	0.1485
581	0.1485
582	0.1484
583	0.1483
584	0.1483
585	0.1482
586	0.1481
587	0.1481
588	0.1480
589	0.1480
590	0.1479
591	0.1478
592	0.1478
593	0.1477
594	0.1476
595	0.1476
596	0.1475
597	0.1475
598	0.1474
599	0.1474
600	0.1473
601	0.1472
602	0.1472
603	0.1471
604	0.1471
605	0.1470
606	0.1470
607	0.1469
608	0.1469
609	0.1468
610	0.1468
611	0.1467
612	0.1467
613	0.1466
614	0.1466
615	0.1465
616	0.1465
