iterations	rmse
01	0.6851
02	0.6824
03	0.5918
04	0.5901
05	0.5885
06	0.5870
07	0.5856
08	0.5841
09	0.5826
10	0.5811
11	0.5796
12	0.5781
13	0.5766
14	0.5751
15	0.5737
16	0.5722
17	0.5708
18	0.5694
19	0.5680
20	0.5667
21	0.5654
22	0.5642
23	0.5630
24	0.5618
25	0.5607
26	0.5597
27	0.5586
28	0.5576
29	0.5567
30	0.5557
31	0.5548
32	0.5539
33	0.5530
34	0.5521
35	0.5512
36	0.5502
37	0.5493
38	0.5484
39	0.5475
40	0.5465
41	0.5455
42	0.5445
43	0.5435
44	0.5425
45	0.5415
46	0.5404
47	0.5394
48	0.5384
49	0.5374
50	0.5364
51	0.5354
52	0.5344
53	0.5334
54	0.5324
55	0.5315
56	0.5305
57	0.5296
58	0.5286
59	0.5276
60	0.5266
61	0.5256
62	0.5246
63	0.5235
64	0.5225
65	0.5214
66	0.5204
67	0.5193
68	0.5182
69	0.5172
70	0.5162
71	0.5152
72	0.5142
73	0.5132
74	0.5123
75	0.5114
76	0.5105
77	0.5097
78	0.5088
79	0.5080
80	0.5071
81	0.5063
82	0.5055
83	0.5046
84	0.5038
85	0.5030
86	0.5021
87	0.5012
88	0.5004
89	0.4995
90	0.4986
91	0.4977
92	0.4968
93	0.4959
94	0.4951
95	0.4942
96	0.4934
97	0.4925
98	0.4917
99	0.4909
100	0.4901
101	0.4894
102	0.4886
103	0.4878
104	0.4871
105	0.4863
106	0.4856
107	0.4848
108	0.4841
109	0.4833
110	0.4825
111	0.4818
112	0.4810
113	0.4802
114	0.4794
115	0.4786
116	0.4778
117	0.4771
118	0.4763
119	0.4755
120	0.4748
121	0.4740
122	0.4733
123	0.4725
124	0.4718
125	0.4710
126	0.4703
127	0.4696
128	0.4688
129	0.4681
130	0.4674
131	0.4667
132	0.4659
133	0.4652
134	0.4645
135	0.4638
136	0.4631
137	0.4624
138	0.4617
139	0.4610
140	0.4604
141	0.4597
142	0.4591
143	0.4584
144	0.4578
145	0.4572
146	0.4566
147	0.4560
148	0.4554
149	0.4548
150	0.4543
151	0.4537
152	0.4531
153	0.4525
154	0.4518
155	0.4512
156	0.4506
157	0.4499
158	0.4493
159	0.4486
160	0.4480
161	0.4473
162	0.4466
163	0.4460
164	0.4453
165	0.4446
166	0.4440
167	0.4433
168	0.4427
169	0.4420
170	0.4414
171	0.4408
172	0.4402
173	0.4396
174	0.4390
175	0.4384
176	0.4378
177	0.4371
178	0.4365
179	0.4359
180	0.4353
181	0.4347
182	0.4340
183	0.4334
184	0.4328
185	0.4321
186	0.4315
187	0.4308
188	0.4302
189	0.4296
190	0.4289
191	0.4283
192	0.4277
193	0.4270
194	0.4264
195	0.4257
196	0.4251
197	0.4245
198	0.4238
199	0.4232
200	0.4225
